,condition,created_at,id,max_quantity,merchant_return_insurance,min_quantity,name,price,rush_delivery,sku_id,state,stock,weight,category_url,rating_average_rate,rating_user_count,sla_type,sla_value,stats_interest_count,stats_sold_count,stats_view_count,stats_waiting_payment_count,store_address_city,store_address_province,store_brand_seller,store_delivery_time,store_id,store_description,store_level_name,store_name,store_premium_level,store_premium_top_seller,store_rejection_recent_transactions,store_rejection_rejected,store_reviews_negative,store_reviews_positive,store_sla_type,store_sla_value,store_subscriber_amount,store_url,warranty_cheapest,deal_applied_date,deal_discount_price,deal_expired_date,deal_original_price,deal_percentage,url,timestamp
0,Baru,2021-11-18 15:33:56,4gt5qip,2147483647,False,1,Neo Coffee 3in1 Renceng 10sachet,6950,False,9806495644,available,2778,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,210,,0,3,6199,0,13.0,Jakarta Utara,DKI Jakarta,False,20 jam,6963855,,Recommended Seller,Toko Baru 227,platinum,True,100,0,111,28561,normal,2,103,https://www.bukalapak.com/u/black_stone27,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gt5qip-jual-neo-coffee-3in1-renceng-10sachet,2022-06-19
1,Baru,2022-01-24 10:02:58,4h0iapm,2147483647,False,1,Aceh Gayo Arabica 200 Gram - Kopi BUBUK BIJI Arabika - Premium Coffee,57500,False,9825356137,available,3857,210,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,209,,0,4,5827,0,0.0,Bandung,Jawa Barat,False,19 jam,46745987,"Fresh Coffee from Roastery! Produk kopi terbaik dari Coffee Roaster kami. Kita bukan pabrik, kita home coffee roaster yang sudah lama bergerak di bidang kopi. Sehingga sangat mendetail mengenai kualitas kopi.Berbagai kopi dari berbagai daerah Indonesia. 
Dijamin single origin asli! tanpa oplos-oplosan.",Juragan,Sentra Kopi,platinum,False,100,8,12,4493,normal,2,98,https://www.bukalapak.com/u/sentrakopi,False,2022-02-20 17:00:00,57500,2022-12-31 16:59:59,64000,10,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h0iapm-jual-aceh-gayo-arabica-200-gram-kopi-bubuk-biji-arabika-premium-coffee,2022-06-19
2,Baru,2022-01-18 01:40:15,4gzus61,2147483647,False,1,Kapal Api - Special Mix,11200,False,9823139554,available,50,350,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,200,,0,1,5059,0,0.0,Jakarta Pusat,DKI Jakarta,False,1-2 hari,364499756,,Recommended Seller,Toko Ali Jaya,platinum,False,11,0,12,25968,normal,2,5,https://www.bukalapak.com/u/antono_gautama386,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gzus61-jual-kapal-api-special-mix,2022-06-19
3,Baru,2022-04-19 04:18:48,4h7am6d,2147483647,False,1,Kopi Pelion Kopi Pede - Kopi Totalitas Energy Bapak BPOM,390000,False,9844959772,available,50,430,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,1,,0,0,3788,0,0.0,Jakarta Pusat,DKI Jakarta,False,1-2 hari,15866389,"Kami menyediakan kebutuhan pasutri ya guys. all di etalase ready, beli banyak lebih murah. cocok untuk resseler. bisa dijual lagi. pengiriman packing aman, privasi juga terjaga",Juragan,Laka Laka Shop,platinum,True,100,0,1,2861,normal,2,300,https://www.bukalapak.com/u/juragan_fasshion_2,False,2022-06-16 17:00:00,390000,2022-11-30 16:59:59,500000,22,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h7am6d-jual-kopi-pelion-kopi-pede-kopi-totalitas-energy-bapak-bpom,2022-06-19
4,Baru,2021-11-18 15:34:21,4gt5qtj,2147483647,False,1,Torabika Cappuccino RENCENG,17900,False,9806496277,available,1977,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,31,,0,1,2925,0,0.0,Jakarta Utara,DKI Jakarta,False,20 jam,6963855,,Recommended Seller,Toko Baru 227,platinum,True,100,0,111,28561,normal,2,103,https://www.bukalapak.com/u/black_stone27,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gt5qtj-jual-torabika-cappuccino-renceng,2022-06-19
5,Baru,2021-11-18 15:34:23,4gt5qud,2147483647,False,1,GOOD DAY 3in1 INSTANT COFFEE RENCENG,11400,False,9806496319,available,470,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,204,,0,1,2691,0,2.0,Jakarta Utara,DKI Jakarta,False,20 jam,6963855,,Recommended Seller,Toko Baru 227,platinum,True,100,0,111,28561,normal,2,103,https://www.bukalapak.com/u/black_stone27,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gt5qud-jual-good-day-3in1-instant-coffee-renceng,2022-06-19
6,Baru,2021-10-27 07:52:05,4gpfozv,2147483647,False,1,Kopi Bubuk Robusta Lampung 1 KG Brazica Gold Quality,82000,False,9797077789,available,2900,1100,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,147,,0,0,2471,0,0.0,Jakarta Barat,DKI Jakarta,False,9 jam,31053171,"Kopi enak dan berkualitas tidak harus MAHAL. Kopi Brazica Tercipta Aroma Lebih Sempurna Kopi enak, Aroma mantap, Rasa nikmat. Kopi asli 100% tanpa campuran. Buktikan Sendiri !!! Spesialis kopi robusta lampung. Brazica merupakan merek dagang yang terdaftar",Juragan,Brazica,platinum,True,100,1,0,3848,normal,2,77,https://www.bukalapak.com/u/brazica,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gpfozv-jual-kopi-bubuk-robusta-lampung-1-kg-brazica-gold-quality,2022-06-19
7,Baru,2022-01-24 10:06:59,4h0ibya,2147483647,False,1,Arabika Gayo Wine 200 Gr - Kopi Bubuk Biji - Premium Aceh Gayo Arabica Coffee by Sentra Kopi,74000,False,9825358189,available,2477,210,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.9,204,,0,2,2195,0,0.0,Bandung,Jawa Barat,False,19 jam,46745987,"Fresh Coffee from Roastery! Produk kopi terbaik dari Coffee Roaster kami. Kita bukan pabrik, kita home coffee roaster yang sudah lama bergerak di bidang kopi. Sehingga sangat mendetail mengenai kualitas kopi.Berbagai kopi dari berbagai daerah Indonesia. 
Dijamin single origin asli! tanpa oplos-oplosan.",Juragan,Sentra Kopi,platinum,False,100,8,12,4493,normal,2,98,https://www.bukalapak.com/u/sentrakopi,False,2022-02-20 17:00:00,74000,2022-12-31 16:59:59,83000,11,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4h0ibya-jual-arabika-gayo-wine-200-gr-kopi-bubuk-biji-premium-aceh-gayo-arabica-coffee-by-sentra-kopi,2022-06-19
8,Baru,2021-11-18 15:34:06,4gt5qmd,2147483647,False,1,Kopi Indocafe Coffemix 3in1 renceng,12950,False,9806495887,available,1,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,5.0,205,,0,4,2193,0,4.0,Jakarta Utara,DKI Jakarta,False,20 jam,6963855,,Recommended Seller,Toko Baru 227,platinum,True,100,0,111,28561,normal,2,103,https://www.bukalapak.com/u/black_stone27,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gt5qmd-jual-kopi-indocafe-coffemix-3in1-renceng,2022-06-19
9,Baru,2021-11-18 15:33:55,4gt5qid,2147483647,False,1,Kopi Torabika Gilus Mix renceng 10sachet,9200,False,9806495620,available,111,300,https://www.bukalapak.com/c/food/kopi/kopi-bubuk,4.8,200,,0,0,2132,0,0.0,Jakarta Utara,DKI Jakarta,False,20 jam,6963855,,Recommended Seller,Toko Baru 227,platinum,True,100,0,111,28561,normal,2,103,https://www.bukalapak.com/u/black_stone27,False,,,,,,https://www.bukalapak.com/p/food/kopi/kopi-bubuk/4gt5qid-jual-kopi-torabika-gilus-mix-renceng-10sachet,2022-06-19
